rank,title,citations,downloads,article_type,top %
72,Invisible Relevance Bias: Text-Image Retrieval Models Prefer AI-Generated Images,0,303,research-article,18.51
73,SuicidEmoji: Derived Emoji Dataset and Tasks for Suicide-Related Social Content,0,302,research-article,18.77
74,Graph Reasoning Enhanced Language Models for Text-to-SQL,0,299,short-paper,19.02
75,Graph Signal Diffusion Model for Collaborative Filtering,0,298,research-article,19.28
75,Pacer and Runner: Cooperative Learning Framework between Single- and Cross-Domain Sequential Recommendation,0,298,research-article,19.28
77,Identifiability of Cross-Domain Recommendation via Causal Subspace Disentanglement,0,294,research-article,19.79
77,Multi-intent-aware Session-based Recommendation,0,294,short-paper,19.79
79,EasyRL4Rec: An Easy-to-use Library for Reinforcement Learning Based Recommender Systems,0,292,research-article,20.31
80,Exploring Multi-Scenario Multi-Modal CTR Prediction with a Large Scale Dataset,0,291,research-article,20.57
81,Fair Sequential Recommendation without User Demographics,0,288,research-article,20.82
81,Behavior Alignment: A New Perspective of Evaluating LLM-based Conversational Recommendation Systems,0,288,short-paper,20.82
83,Denoising Diffusion Recommender Model,1,287,research-article,21.34
84,LLM-Ensemble: Optimal Large Language Model Ensemble Method for E-commerce Product Attribute Value Extraction,2,282,short-paper,21.59
85,Disentangled Contrastive Hypergraph Learning for Next POI Recommendation,0,281,research-article,21.85
85,What do Users Really Ask Large Language Models? An Initial Log Analysis of Google Bard Interactions in the Wild,2,281,short-paper,21.85
85,Scalable Community Search over Large-scale Graphs based on Graph Transformer,1,281,research-article,21.85
88,Going Beyond Popularity and Positivity Bias: Correcting for Multifactorial Bias in Recommender Systems,0,280,research-article,22.62
89,Adaptive In-Context Learning with Large Language Models for Bundle Generation,0,274,research-article,22.88
90,On the Evaluation of Machine-Generated Reports,1,272,research-article,23.14
90,Unsupervised Large Language Model Alignment for Information Retrieval via Contrastive Feedback,0,272,research-article,23.14
92,Leveraging LLMs for Unsupervised Dense Retriever Ranking,1,269,research-article,23.65
93,Aiming at the Target: Filter Collaborative Information for Cross-Domain Recommendation,0,268,research-article,23.91
